Ingreso_Hab_Dia (S),ADR_USD (P),Public_Noct_USD (P),Fotos (P),Mascotas (M)
44,11,10.5,7.5,False
50.7,14.7,30.3,5.3,False
99,11,11,8,False
173.3,21.9,22,11.3,False
171.3,22,18.5,10,False
93,93,93,7,False
10,10,9,11,False
62,62,61,6,True
10,10,10,19,False
1272,53,22.2,9,(en blanco)
805,31.5,16.1,14,False
35,15,15,14,False
174,29,40,10,False
153,30.6,40,10,False
98.2,24.6,40,10,False
661.9,24.5,40,10,False
120,10,15,6,True
25.5,10.5,14.5,6.5,False
422,52.8,70,31,False
307.1,43.9,70,31,False
283.9,47.3,70,31,False
976,51.4,70,31,False
25,25,37,22,True
308.2,22,37,22,True
11,11,9,10,False
66,11,9,10,False
52,13.3,11.3,5.7,False
43.5,10.5,10,6.5,False
14.5,14.5,13,5,True
10,10,10,3,True
29,11,11,6,False
147.5,14.5,11,9.5,False
88.3,12.3,12.7,6.7,False
36.3,15.8,15.8,7.3,False
72,12,12.5,7,False
174.4,17.9,35,10.7,False
243,20.5,37.7,12.7,False
263.7,19.9,36.8,11.8,False
241.1,21.4,36.8,11.8,False
216.1,19,31.2,10,False
195.3,23,31.2,14.8,False
165.5,17.7,30.4,16,False
247.9,17.1,29.2,15.7,False
316.5,16.2,28,18,False
299.5,15.4,29.2,16.9,False
266.6,17.1,28.7,17.3,False
179.9,19.6,31.1,17.5,False
72,18,18,8,True
54,18,18,8,True
27.5,12.5,11.5,7,False
30,10,9,11,True
110,10,9,11,True
190,10,9,11,True
22,11,11,12,False
10,10,10,2,False
30,10,10,2,False
93,93,95,29,False
60,12,13,4,False
33,11,11,4,True
24,12,11,10,False
20,20,20,3,False
70,35,34,7,False
155,42.5,40.5,11.5,False
354.5,23.2,10.5,7.5,False
359.8,18,34.5,13,False
161.1,19,34.5,13,False
296.5,18.2,34.5,13,False
325.4,18.7,34.5,13,False
412.9,16.2,34.5,13,False
333.3,18.5,34,6,False
11,11,11,4,False
222,24.7,46,26,False
298,17.5,34,6,False
96.5,23.5,40.5,23,False
53,13.3,14,15,True
12.5,12.5,14.5,6,False
26,13,13,11,True
150,10,10,37,False
437,33.6,25,15,True
75,25,25,15,True
50.3,10.3,9.7,17,False
92.5,21.5,21,30.5,False
363.5,22.8,21,30.5,False
240.2,22.8,17.3,22.3,False
258.5,18.4,20,20.7,False
309,21.4,25.5,27.5,False
255.6,15.8,17.8,15.5,False
320.4,15.9,19.3,19,False
415.3,19.9,23.3,25.3,False
350.9,16.9,21.7,14,False
503.2,16.7,19,12,False
156.5,18.8,21.7,14,False
313.3,15.9,17.2,10,False
85,17.5,16,15,False
553.8,24.4,26,10,False
594.6,14.9,17,9.8,False
415.3,21.3,26,10,False
570,19,19,8,(en blanco)
113,22.6,33,12,False
75,25,23,1,False
206,18.7,22,13,False
48,16,22,13,False
12,12,11,1,True
11,11,11,1,True
315,21,23,9,False
23,23,23,1,False
177.5,17.5,17,5,False
20,20,20,7,False
30,10,9,5,False
22,11,9,5,False
10,10,9,4,False
80,10,10,13,False
10,10,9,5,False
20,10,10,9,False
140,10,10,9,False
70,10,10,9,False
630,21,10,9,False
30,10,10,9,False
130,10,10,9,False
85,10,10,9,False
70,10,10,9,False
30,10,10,9,False
30,10,10,9,False
39.5,9.5,9.5,6,False
100,10,10,9,False
129,43,38,14,True
130,10,10,4,True
190,10,10,4,True
